# n	chi	p	sample	region_size	s_bits
64.000000	3.000000	0.020000	0.000000	4.000000	0.000000
64.000000	3.000000	0.020000	0.000000	8.000000	6.339850
64.000000	3.000000	0.020000	0.000000	12.000000	17.434588
64.000000	3.000000	0.020000	0.000000	16.000000	25.359400
64.000000	3.000000	0.020000	1.000000	4.000000	7.924813
64.000000	3.000000	0.020000	1.000000	8.000000	12.679700
64.000000	3.000000	0.020000	1.000000	12.000000	14.264663
64.000000	3.000000	0.020000	1.000000	16.000000	15.849625
64.000000	3.000000	0.020000	2.000000	4.000000	6.339850
64.000000	3.000000	0.020000	2.000000	8.000000	15.849625
64.000000	3.000000	0.020000	2.000000	12.000000	20.604513
64.000000	3.000000	0.020000	2.000000	16.000000	23.774438
64.000000	3.000000	0.020000	3.000000	4.000000	7.924813
64.000000	3.000000	0.020000	3.000000	8.000000	17.434588
64.000000	3.000000	0.020000	3.000000	12.000000	25.359400
64.000000	3.000000	0.020000	3.000000	16.000000	39.624063
64.000000	3.000000	0.020000	4.000000	4.000000	3.169925
64.000000	3.000000	0.020000	4.000000	8.000000	12.679700
64.000000	3.000000	0.020000	4.000000	12.000000	14.264663
64.000000	3.000000	0.020000	4.000000	16.000000	20.604513
64.000000	3.000000	0.050000	0.000000	4.000000	14.264663
64.000000	3.000000	0.050000	0.000000	8.000000	31.699250
64.000000	3.000000	0.050000	0.000000	12.000000	45.963913
64.000000	3.000000	0.050000	0.000000	16.000000	50.718800
64.000000	3.000000	0.050000	1.000000	4.000000	11.094738
64.000000	3.000000	0.050000	1.000000	8.000000	23.774438
64.000000	3.000000	0.050000	1.000000	12.000000	41.209025
64.000000	3.000000	0.050000	1.000000	16.000000	61.813538
64.000000	3.000000	0.050000	2.000000	4.000000	15.849625
64.000000	3.000000	0.050000	2.000000	8.000000	39.624063
64.000000	3.000000	0.050000	2.000000	12.000000	45.963913
64.000000	3.000000	0.050000	2.000000	16.000000	47.548875
64.000000	3.000000	0.050000	3.000000	4.000000	20.604513
64.000000	3.000000	0.050000	3.000000	8.000000	41.209025
64.000000	3.000000	0.050000	3.000000	12.000000	63.398500
64.000000	3.000000	0.050000	3.000000	16.000000	66.568425
64.000000	3.000000	0.050000	4.000000	4.000000	11.094738
64.000000	3.000000	0.050000	4.000000	8.000000	30.114288
64.000000	3.000000	0.050000	4.000000	12.000000	47.548875
64.000000	3.000000	0.050000	4.000000	16.000000	64.983463
64.000000	3.000000	0.080000	0.000000	4.000000	33.284213
64.000000	3.000000	0.080000	0.000000	8.000000	63.398500
64.000000	3.000000	0.080000	0.000000	12.000000	77.663163
64.000000	3.000000	0.080000	0.000000	16.000000	104.607525
64.000000	3.000000	0.080000	1.000000	4.000000	19.019550
64.000000	3.000000	0.080000	1.000000	8.000000	47.548875
64.000000	3.000000	0.080000	1.000000	12.000000	66.568425
64.000000	3.000000	0.080000	1.000000	16.000000	90.342863
64.000000	3.000000	0.080000	2.000000	4.000000	31.699250
64.000000	3.000000	0.080000	2.000000	8.000000	53.888725
64.000000	3.000000	0.080000	2.000000	12.000000	77.663163
64.000000	3.000000	0.080000	2.000000	16.000000	90.342863
64.000000	3.000000	0.080000	3.000000	4.000000	42.793988
64.000000	3.000000	0.080000	3.000000	8.000000	76.078200
64.000000	3.000000	0.080000	3.000000	12.000000	91.927825
64.000000	3.000000	0.080000	3.000000	16.000000	114.117300
64.000000	3.000000	0.080000	4.000000	4.000000	22.189475
64.000000	3.000000	0.080000	4.000000	8.000000	55.473688
64.000000	3.000000	0.080000	4.000000	12.000000	71.323313
64.000000	3.000000	0.080000	4.000000	16.000000	88.757900
