p	T	R
0.0	2	0.9999999999999999
0.0	3	1.0
0.0	4	1.0000000000000004
0.0	5	1.0000000000000009
0.0	6	1.0000000000000013
0.0	7	1.0000000000000018
0.0	8	1.0000000000000022
0.0	9	1.0000000000000027
0.0	10	1.000000000000003
0.0	11	1.0000000000000038
0.0	12	1.0000000000000042
0.0	13	1.0000000000000047
0.0	14	1.0000000000000049
0.0	15	1.0000000000000056
0.05	2	0.9512499999999993
0.05	3	0.9056687499999998
0.05	4	0.8630245351562499
0.05	5	0.8231037143828127
0.05	6	0.7857092518587407
0.05	7	0.7506593712592977
0.05	8	0.717786322241327
0.05	9	0.6869352496202649
0.05	10	0.6579631565040606
0.05	11	0.6307379534044681
0.05	12	0.6051375860352385
0.05	13	0.5810492351355108
0.05	14	0.5583685822305275
0.05	15	0.5369991357655147
0.1	2	0.9050000000000009
0.1	3	0.8220333333333345
0.1	4	0.7493852500000012
0.1	5	0.6856016420000013
0.1	6	0.6294477750166679
0.1	7	0.5798737409401441
0.1	8	0.5359855138913275
0.1	9	0.49702068111286724
0.1	10	0.46232807653128055
0.1	11	0.43135067453667053
0.1	12	0.40361120917681154
0.1	13	0.3787000733229701
0.1	14	0.3562651265779199
0.1	15	0.33600310235957437
0.2	2	0.82
0.2	3	0.6832000000000001
0.2	4	0.5779360000000002
0.2	5	0.4959032320000003
0.2	6	0.43114839040000036
0.2	7	0.37937283130514327
0.2	8	0.3374487855308803
0.2	9	0.3030819757686787
0.2	10	0.2745752180427591
0.2	11	0.2506619450430599
0.2	12	0.2303883410919286
0.2	13	0.2130294199681548
0.2	14	0.1980289124382178
0.2	15	0.18495593702976218
