# theta1 theta2 steps max_norm_drift
0.000000e+00 0.000000e+00 1.000000e+01 0.000000e+00
0.000000e+00 0.000000e+00 5.000000e+01 0.000000e+00
0.000000e+00 0.000000e+00 1.000000e+02 0.000000e+00
0.000000e+00 1.000000e-01 1.000000e+01 1.110223e-15
0.000000e+00 1.000000e-01 5.000000e+01 5.329071e-15
0.000000e+00 1.000000e-01 1.000000e+02 1.110223e-14
0.000000e+00 2.000000e-01 1.000000e+01 2.220446e-16
0.000000e+00 2.000000e-01 5.000000e+01 1.110223e-15
0.000000e+00 2.000000e-01 1.000000e+02 2.109424e-15
0.000000e+00 3.000000e-01 1.000000e+01 9.992007e-16
0.000000e+00 3.000000e-01 5.000000e+01 4.662937e-15
0.000000e+00 3.000000e-01 1.000000e+02 8.548717e-15
0.000000e+00 4.000000e-01 1.000000e+01 2.220446e-16
0.000000e+00 4.000000e-01 5.000000e+01 1.776357e-15
0.000000e+00 4.000000e-01 1.000000e+02 2.664535e-15
0.000000e+00 5.000000e-01 1.000000e+01 4.440892e-16
0.000000e+00 5.000000e-01 5.000000e+01 1.554312e-15
0.000000e+00 5.000000e-01 1.000000e+02 2.886580e-15
0.000000e+00 6.000000e-01 1.000000e+01 4.440892e-16
0.000000e+00 6.000000e-01 5.000000e+01 3.108624e-15
0.000000e+00 6.000000e-01 1.000000e+02 6.217249e-15
1.000000e-01 0.000000e+00 1.000000e+01 1.110223e-15
1.000000e-01 0.000000e+00 5.000000e+01 5.329071e-15
1.000000e-01 0.000000e+00 1.000000e+02 1.110223e-14
1.000000e-01 1.000000e-01 1.000000e+01 2.220446e-15
1.000000e-01 1.000000e-01 5.000000e+01 1.088019e-14
1.000000e-01 1.000000e-01 1.000000e+02 2.131628e-14
1.000000e-01 2.000000e-01 1.000000e+01 6.661338e-16
1.000000e-01 2.000000e-01 5.000000e+01 4.884981e-15
1.000000e-01 2.000000e-01 1.000000e+02 8.437695e-15
1.000000e-01 3.000000e-01 1.000000e+01 4.440892e-16
1.000000e-01 3.000000e-01 5.000000e+01 1.554312e-15
1.000000e-01 3.000000e-01 1.000000e+02 1.998401e-15
1.000000e-01 4.000000e-01 1.000000e+01 1.332268e-15
1.000000e-01 4.000000e-01 5.000000e+01 6.217249e-15
1.000000e-01 4.000000e-01 1.000000e+02 1.221245e-14
1.000000e-01 5.000000e-01 1.000000e+01 1.776357e-15
1.000000e-01 5.000000e-01 5.000000e+01 7.105427e-15
1.000000e-01 5.000000e-01 1.000000e+02 1.265654e-14
1.000000e-01 6.000000e-01 1.000000e+01 1.776357e-15
