n p chi region_frac cut_size s_bits
32 0.050 2 0.050 4 4.000000
32 0.050 2 0.100 7 7.000000
32 0.050 2 0.150 9 9.000000
32 0.050 2 0.200 12 12.000000
32 0.050 2 0.250 13 13.000000
32 0.050 2 0.300 14 14.000000
32 0.050 2 0.350 15 15.000000
32 0.050 2 0.400 18 18.000000
32 0.050 2 0.450 20 20.000000
32 0.050 2 0.500 22 22.000000
32 0.050 3 0.050 4 6.339850
32 0.050 3 0.100 7 11.094738
32 0.050 3 0.150 9 14.264663
32 0.050 3 0.200 12 19.019550
32 0.050 3 0.250 13 20.604513
32 0.050 3 0.300 14 22.189475
32 0.050 3 0.350 15 23.774438
32 0.050 3 0.400 18 28.529325
32 0.050 3 0.450 20 31.699250
32 0.050 3 0.500 22 34.869175
32 0.050 4 0.050 4 8.000000
32 0.050 4 0.100 7 14.000000
32 0.050 4 0.150 9 18.000000
32 0.050 4 0.200 12 24.000000
32 0.050 4 0.250 13 26.000000
32 0.050 4 0.300 14 28.000000
32 0.050 4 0.350 15 30.000000
32 0.050 4 0.400 18 36.000000
32 0.050 4 0.450 20 40.000000
32 0.050 4 0.500 22 44.000000
32 0.080 2 0.050 6 6.000000
32 0.080 2 0.100 14 14.000000
32 0.080 2 0.150 17 17.000000
32 0.080 2 0.200 22 22.000000
32 0.080 2 0.250 31 31.000000
32 0.080 2 0.300 31 31.000000
32 0.080 2 0.350 32 32.000000
32 0.080 2 0.400 35 35.000000
32 0.080 2 0.450 37 37.000000
32 0.080 2 0.500 36 36.000000
32 0.080 3 0.050 6 9.509775
32 0.080 3 0.100 14 22.189475
32 0.080 3 0.150 17 26.944363
32 0.080 3 0.200 22 34.869175
32 0.080 3 0.250 31 49.133838
32 0.080 3 0.300 31 49.133838
32 0.080 3 0.350 32 50.718800
32 0.080 3 0.400 35 55.473688
32 0.080 3 0.450 37 58.643613
32 0.080 3 0.500 36 57.058650
32 0.080 4 0.050 6 12.000000
32 0.080 4 0.100 14 28.000000
32 0.080 4 0.150 17 34.000000
32 0.080 4 0.200 22 44.000000
32 0.080 4 0.250 31 62.000000
32 0.080 4 0.300 31 62.000000
32 0.080 4 0.350 32 64.000000
32 0.080 4 0.400 35 70.000000
32 0.080 4 0.450 37 74.000000
32 0.080 4 0.500 36 72.000000
32 0.120 2 0.050 3 3.000000
32 0.120 2 0.100 12 12.000000
32 0.120 2 0.150 13 13.000000
32 0.120 2 0.200 23 23.000000
32 0.120 2 0.250 26 26.000000
32 0.120 2 0.300 23 23.000000
32 0.120 2 0.350 24 24.000000
32 0.120 2 0.400 25 25.000000
32 0.120 2 0.450 26 26.000000
32 0.120 2 0.500 30 30.000000
32 0.120 3 0.050 3 4.754888
32 0.120 3 0.100 12 19.019550
32 0.120 3 0.150 13 20.604513
32 0.120 3 0.200 23 36.454138
32 0.120 3 0.250 26 41.209025
32 0.120 3 0.300 23 36.454138
32 0.120 3 0.350 24 38.039100
32 0.120 3 0.400 25 39.624063
32 0.120 3 0.450 26 41.209025
32 0.120 3 0.500 30 47.548875
32 0.120 4 0.050 3 6.000000
32 0.120 4 0.100 12 24.000000
32 0.120 4 0.150 13 26.000000
32 0.120 4 0.200 23 46.000000
32 0.120 4 0.250 26 52.000000
32 0.120 4 0.300 23 46.000000
32 0.120 4 0.350 24 48.000000
32 0.120 4 0.400 25 50.000000
32 0.120 4 0.450 26 52.000000
32 0.120 4 0.500 30 60.000000
64 0.050 2 0.050 6 6.000000
64 0.050 2 0.100 14 14.000000
64 0.050 2 0.150 20 20.000000
64 0.050 2 0.200 29 29.000000
64 0.050 2 0.250 41 41.000000
64 0.050 2 0.300 40 40.000000
64 0.050 2 0.350 45 45.000000
64 0.050 2 0.400 52 52.000000
64 0.050 2 0.450 54 54.000000
64 0.050 2 0.500 57 57.000000
64 0.050 3 0.050 6 9.509775
64 0.050 3 0.100 14 22.189475
