boundary_size erased code_distance_edges reconstructable
1 0 1 1
1 0 2 0
1 0 3 0
1 0 4 0
1 0 5 0
1 0 6 0
1 0 7 0
1 0 8 0
1 1 1 0
1 1 2 0
1 1 3 0
1 1 4 0
1 1 5 0
1 1 6 0
1 1 7 0
1 1 8 0
1 2 1 0
1 2 2 0
1 2 3 0
1 2 4 0
1 2 5 0
1 2 6 0
1 2 7 0
1 2 8 0
1 3 1 0
1 3 2 0
1 3 3 0
1 3 4 0
1 3 5 0
1 3 6 0
1 3 7 0
1 3 8 0
1 4 1 0
1 4 2 0
1 4 3 0
1 4 4 0
1 4 5 0
1 4 6 0
1 4 7 0
1 4 8 0
1 5 1 0
1 5 2 0
1 5 3 0
1 5 4 0
1 5 5 0
1 5 6 0
1 5 7 0
1 5 8 0
1 6 1 0
1 6 2 0
1 6 3 0
1 6 4 0
1 6 5 0
1 6 6 0
1 6 7 0
1 6 8 0
1 7 1 0
1 7 2 0
1 7 3 0
1 7 4 0
1 7 5 0
1 7 6 0
1 7 7 0
1 7 8 0
1 8 1 0
1 8 2 0
1 8 3 0
1 8 4 0
1 8 5 0
1 8 6 0
1 8 7 0
1 8 8 0
5 0 1 1
5 0 2 1
5 0 3 1
5 0 4 1
5 0 5 1
5 0 6 1
5 0 7 1
5 0 8 1
5 1 1 1
5 1 2 1
5 1 3 1
5 1 4 1
5 1 5 1
5 1 6 1
5 1 7 1
5 1 8 0
5 2 1 1
5 2 2 1
5 2 3 1
5 2 4 1
5 2 5 1
5 2 6 0
5 2 7 0
5 2 8 0
5 3 1 1
5 3 2 1
5 3 3 1
5 3 4 0
5 3 5 0
5 3 6 0
5 3 7 0
5 3 8 0
5 4 1 1
5 4 2 0
5 4 3 0
5 4 4 0
5 4 5 0
5 4 6 0
5 4 7 0
5 4 8 0
5 5 1 0
5 5 2 0
5 5 3 0
5 5 4 0
5 5 5 0
5 5 6 0
5 5 7 0
5 5 8 0
5 6 1 0
5 6 2 0
5 6 3 0
5 6 4 0
5 6 5 0
5 6 6 0
5 6 7 0
5 6 8 0
5 7 1 0
5 7 2 0
5 7 3 0
5 7 4 0
5 7 5 0
5 7 6 0
5 7 7 0
5 7 8 0
5 8 1 0
5 8 2 0
5 8 3 0
5 8 4 0
5 8 5 0
5 8 6 0
5 8 7 0
5 8 8 0
9 0 1 1
9 0 2 1
9 0 3 1
9 0 4 1
9 0 5 1
9 0 6 1
9 0 7 1
9 0 8 1
9 1 1 1
9 1 2 1
9 1 3 1
9 1 4 1
9 1 5 1
9 1 6 1
9 1 7 1
9 1 8 1
9 2 1 1
9 2 2 1
9 2 3 1
9 2 4 1
9 2 5 1
9 2 6 1
9 2 7 1
9 2 8 1
9 3 1 1
9 3 2 1
9 3 3 1
9 3 4 1
9 3 5 1
9 3 6 1
9 3 7 1
9 3 8 1
9 4 1 1
9 4 2 1
9 4 3 1
9 4 4 1
9 4 5 1
9 4 6 1
9 4 7 1
9 4 8 1
9 5 1 1
9 5 2 1
9 5 3 1
9 5 4 1
9 5 5 1
9 5 6 1
9 5 7 1
9 5 8 0
9 6 1 1
9 6 2 1
9 6 3 1
9 6 4 1
9 6 5 1
9 6 6 0
9 6 7 0
9 6 8 0
9 7 1 1
9 7 2 1
9 7 3 1
9 7 4 0
9 7 5 0
9 7 6 0
9 7 7 0
9 7 8 0
9 8 1 1
9 8 2 0
9 8 3 0
9 8 4 0
9 8 5 0
9 8 6 0
9 8 7 0
9 8 8 0
13 0 1 1
13 0 2 1
13 0 3 1
13 0 4 1
13 0 5 1
13 0 6 1
13 0 7 1
13 0 8 1
13 1 1 1
13 1 2 1
13 1 3 1
13 1 4 1
13 1 5 1
13 1 6 1
13 1 7 1
13 1 8 1
13 2 1 1
13 2 2 1
13 2 3 1
13 2 4 1
13 2 5 1
13 2 6 1
13 2 7 1
13 2 8 1
13 3 1 1
13 3 2 1
13 3 3 1
13 3 4 1
13 3 5 1
13 3 6 1
13 3 7 1
13 3 8 1
13 4 1 1
13 4 2 1
13 4 3 1
13 4 4 1
13 4 5 1
13 4 6 1
13 4 7 1
13 4 8 1
13 5 1 1
13 5 2 1
13 5 3 1
13 5 4 1
13 5 5 1
13 5 6 1
13 5 7 1
13 5 8 1
13 6 1 1
13 6 2 1
13 6 3 1
13 6 4 1
13 6 5 1
